sample_id,true_serotype,true_serogroup,dataset,benchmark
ERR1422465,6B,6,Training,GPS benchmark
SRR26715012,6C,6,Training,GPS benchmark
ERR701848,6A,6,Testing,GPS benchmark
SRR26931067,3,3,Training,GPS benchmark
ERR1066002,11A,11,Testing,GPS benchmark
SRR26749930,35B,35,Training,GPS benchmark
ERR7567893,9N,9,Training,GPS benchmark
ERR714578,14,14,Testing,GPS benchmark
ERR1788205,9N,9,Training,GPS benchmark
ERR1288900,6B,6,Training,GPS benchmark
ERR714610,19F,19,Training,GPS benchmark
ERR2667944,1,1,Training,GPS benchmark
SRR26797700,7C,7,Training,GPS benchmark
ERR13364842,7F,7,Training,GPS benchmark
ERR2680618,19F,19,Training,GPS benchmark
ERR742440,19F,19,Training,GPS benchmark
ERR1066373,35B,35,Training,GPS benchmark
SRR26930511,3,3,Training,GPS benchmark
ERR2667175,18C,18,Training,GPS benchmark
ERR2091050,1,1,Training,GPS benchmark
ERR13374793,35B,35,Training,GPS benchmark
SRR26818643,8,8,Training,GPS benchmark
ERR884646,7F,7,Training,GPS benchmark
ERR2090792,12F,12,Training,GPS benchmark
ERR13365402,12F,12,Testing,GPS benchmark
SRR26673337,22F,22,Training,GPS benchmark
SRR26714375,8,8,Training,GPS benchmark
SRR26818615,9V,9,Training,GPS benchmark
ERR2091056,5,5,Training,GPS benchmark
SRR26789599,15B,15,Training,GPS benchmark
SRR26880151,22F,22,Training,GPS benchmark
SRR26594736,8,8,Training,GPS benchmark
ERR2681403,23F,23,Training,GPS benchmark
ERR870056,5,5,Testing,GPS benchmark
ERR1540699,10A,10,Training,GPS benchmark
ERR7567759,8,8,Training,GPS benchmark
ERR869910,23A,23,Training,GPS benchmark
SRR26594293,22F,22,Training,GPS benchmark
SRR26714813,15A,15,Training,GPS benchmark
ERR2667090,19A,19,Training,GPS benchmark
SRR26749520,6A,6,Training,GPS benchmark
SRR26931614,12F,12,Training,GPS benchmark
ERR2090690,15B/C,15,Training,GPS benchmark
ERR1106749,35B,35,Training,GPS benchmark
ERR5336811,4,4,Training,GPS benchmark
SRR26910657,8,8,Training,GPS benchmark
ERR1066164,35B,35,Training,GPS benchmark
SRR26817911,8,8,Testing,GPS benchmark
SRR26931391,8,8,Training,GPS benchmark
ERR2667942,3,3,Training,GPS benchmark
ERR2667146,19A,19,Training,GPS benchmark
SRR26673662,3,3,Testing,GPS benchmark
ERR1066131,6B,6,Training,GPS benchmark
ERR13365649,1,1,Training,GPS benchmark
ERR730152,34,34,Training,GPS benchmark
ERR316822,16F,16,Training,GPS benchmark
ERR1453403,19F,19,Training,GPS benchmark
ERR925028,38,38,Training,GPS benchmark
ERR714676,4,4,Testing,GPS benchmark
ERR433945,33F,33,Training,GPS benchmark
SRR26672956,38,38,Training,GPS benchmark
SRR26879670,24,24,Testing,GPS benchmark
SRR26595159,15B,15,Training,GPS benchmark
SRR26880023,22F,22,Training,GPS benchmark
ERR1453667,23F,23,Testing,GPS benchmark
SRR26789249,6C,6,Training,GPS benchmark
ERR751087,18C,18,Training,GPS benchmark
ERR600594,1,1,Training,GPS benchmark
ERR869960,14,14,Training,GPS benchmark
SRR26797840,12F,12,Training,GPS benchmark
ERR876453,23F,23,Training,GPS benchmark
ERR909181,17F,17,Training,GPS benchmark
SRR26749652,3,3,Training,GPS benchmark
ERR714327,6B,6,Training,GPS benchmark
ERR742784,6A,6,Testing,GPS benchmark
SRR26594283,9N,9,Training,GPS benchmark
SRR26749495,20B,20,Training,GPS benchmark
SRR26833946,23A,23,Training,GPS benchmark
SRR26931558,15A,15,Training,GPS benchmark
SRR26930280,3,3,Training,GPS benchmark
SRR26594710,22F,22,Training,GPS benchmark
SRR26833664,6C,6,Training,GPS benchmark
SRR26878544,3,3,Training,GPS benchmark
ERR2853554,19A,19,Training,GPS benchmark
ERR925363,16F,16,Training,GPS benchmark
ERR2680808,6B,6,Training,GPS benchmark
SRR26834112,8,8,Training,GPS benchmark
SRR26880361,20B,20,Training,GPS benchmark
ERR1788196,9V,9,Training,GPS benchmark
ERR331178,6C,6,Training,GPS benchmark
ERR326549,4,4,Training,GPS benchmark
ERR1453740,15B/C,15,Training,GPS benchmark
ERR997521,7F,7,Training,GPS benchmark
SRR26673231,22F,22,Training,GPS benchmark
ERR1788325,14,14,Training,GPS benchmark
ERR1540710,19F,19,Training,GPS benchmark
SRR26931471,16F,16,Training,GPS benchmark
ERR9796466,19A,19,Training,GPS benchmark
ERR2090018,19A,19,Training,GPS benchmark
ERR845779,15B/C,15,Training,GPS benchmark
ERR2667456,15B/C,15,Training,GPS benchmark
ERR433907,22F,22,Training,GPS benchmark
SRR26930328,24A,24,Training,GPS benchmark
ERR2090185,19A,19,Training,GPS benchmark
ERR701870,23F,23,Training,GPS benchmark
SRR26878743,7C,7,Training,GPS benchmark
SRR26817971,16F,16,Training,GPS benchmark
ERR596400,3,3,Training,GPS benchmark
ERR1214526,15B/C,15,Training,GPS benchmark
ERR1799760,9L,9,Training,GPS benchmark
ERR3796931,24F,24,Training,GPS benchmark
SRR26673484,3,3,Training,GPS benchmark
ERR730794,23A,23,Training,GPS benchmark
ERR870184,6B,6,Training,GPS benchmark
SRR26833643,8,8,Training,GPS benchmark
ERR2089153,34,34,Training,GPS benchmark
ERR1453551,14,14,Training,GPS benchmark
ERR326746,14,14,Training,GPS benchmark
ERR632941,6A,6,Training,GPS benchmark
SRR26749268,22F,22,Training,GPS benchmark
ERR1453517,3,3,Training,GPS benchmark
ERR2668125,23F,23,Training,GPS benchmark
SRR26715065,3,3,Testing,GPS benchmark
ERR13366105,22F,22,Training,GPS benchmark
SRR26714436,8,8,Training,GPS benchmark
SRR26880121,19A,19,Training,GPS benchmark
ERR2667789,9V,9,Training,GPS benchmark
ERR1202589,7F,7,Training,GPS benchmark
ERR352002,5,5,Training,GPS benchmark
ERR646533,18C,18,Training,GPS benchmark
ERR1430865,1,1,Training,GPS benchmark
ERR1453443,12F,12,Training,GPS benchmark
SRR26790054,3,3,Training,GPS benchmark
ERR2213029,14,14,Testing,GPS benchmark
SRR26673478,3,3,Training,GPS benchmark
ERR7567780,16F,16,Training,GPS benchmark
SRR26833842,23F,23,Training,GPS benchmark
ERR568519,6B,6,Training,GPS benchmark
SRR26878387,12F,12,Training,GPS benchmark
ERR2089085,23B,23,Training,GPS benchmark
ERR505640,33F,33,Training,GPS benchmark
ERR730564,23F,23,Training,GPS benchmark
SRR26878436,8,8,Training,GPS benchmark
ERR1214378,23F,23,Training,GPS benchmark
SRR26714222,20B,20,Training,GPS benchmark
SRR26594493,8,8,Testing,GPS benchmark
ERR984287,6A,6,Training,GPS benchmark
SRR26594746,15A,15,Training,GPS benchmark
ERR2681096,6B,6,Training,GPS benchmark
SRR26834365,23A,23,Training,GPS benchmark
ERR2089184,35B,35,Training,GPS benchmark
ERR2681378,35A,35,Training,GPS benchmark
ERR433833,9L,9,Training,GPS benchmark
ERR730299,11A,11,Training,GPS benchmark
ERR2089608,1,1,Training,GPS benchmark
ERR925111,16F,16,Training,GPS benchmark
SRR26911135,8,8,Training,GPS benchmark
SRR26931437,9N,9,Testing,GPS benchmark
ERR505766,19A,19,Training,GPS benchmark
SRR26789933,8,8,Testing,GPS benchmark
ERR13365773,22F,22,Training,GPS benchmark
ERR751043,14,14,Training,GPS benchmark
ERR2667981,1,1,Training,GPS benchmark
ERR13365193,7F,7,Testing,GPS benchmark
ERR1065855,6B,6,Training,GPS benchmark
SRR26789976,15A,15,Training,GPS benchmark
SRR26930483,22F,22,Training,GPS benchmark
ERR2667897,15B/C,15,Training,GPS benchmark
SRR26931820,12F,12,Testing,GPS benchmark
ERR1202360,23F,23,Training,GPS benchmark
ERR13374777,4,4,Training,GPS benchmark
ERR586342,14,14,Training,GPS benchmark
ERR1788051,18C,18,Training,GPS benchmark
ERR425373,14,14,Training,GPS benchmark
ERR433637,6C,6,Testing,GPS benchmark
SRR26884722,3,3,Training,GPS benchmark
ERR925148,13,13,Training,GPS benchmark
SRR26834323,10A,10,Training,GPS benchmark
ERR3899398,14,14,Training,GPS benchmark
ERR2853470,19A,19,Training,GPS benchmark
ERR568558,9V,9,Training,GPS benchmark
ERR1202329,6A,6,Training,GPS benchmark
ERR2667811,19A,19,Training,GPS benchmark
ERR319389,6B,6,Training,GPS benchmark
SRR26749165,33F,33,Training,GPS benchmark
SRR26714638,3,3,Training,GPS benchmark
ERR2667864,6B,6,Training,GPS benchmark
ERR433525,12F,12,Training,GPS benchmark
ERR13365117,23F,23,Testing,GPS benchmark
SRR26878187,35B,35,Training,GPS benchmark
ERR505709,23A,23,Training,GPS benchmark
ERR577859,19F,19,Training,GPS benchmark
ERR13374833,7C,7,Training,GPS benchmark
SRR26797426,15A,15,Training,GPS benchmark
ERR4289132,20,20,Training,GPS benchmark
SRR26818167,8,8,Training,GPS benchmark
ERR884680,19A,19,Training,GPS benchmark
ERR2090969,5,5,Training,GPS benchmark
SRR26818357,16F,16,Training,GPS benchmark
SRR26595006,9N,9,Training,GPS benchmark
SRR26595041,8,8,Training,GPS benchmark
ERR1192022,11A,11,Testing,GPS benchmark
ERR2090811,22F,22,Training,GPS benchmark
SRR26930166,22F,22,Training,GPS benchmark
ERR750908,6B,6,Training,GPS benchmark
ERR869828,9V,9,Training,GPS benchmark
ERR568715,1,1,Testing,GPS benchmark
ERR568551,9V,9,Training,GPS benchmark
ERR1202383,13,13,Training,GPS benchmark
ERR600130,6C,6,Testing,GPS benchmark
ERR2681155,23F,23,Training,GPS benchmark
ERR433752,14,14,Training,GPS benchmark
ERR2090128,19F,19,Training,GPS benchmark
ERR884655,15A,15,Testing,GPS benchmark
SRR26749338,12F,12,Training,GPS benchmark
ERR2089556,15A,15,Training,GPS benchmark
SRR26789768,24,24,Training,GPS benchmark
SRR26883981,8,8,Training,GPS benchmark
ERR980090,14,14,Training,GPS benchmark
SRR26797516,23A,23,Training,GPS benchmark
SRR26789271,3,3,Training,GPS benchmark
SRR26884719,33F,33,Testing,GPS benchmark
ERR1430922,18C,18,Training,GPS benchmark
SRR26672908,11A,11,Training,GPS benchmark
ERR1066101,13,13,Training,GPS benchmark
ERR742393,6C,6,Training,GPS benchmark
ERR2853510,19A,19,Testing,GPS benchmark
ERR979930,8,8,Training,GPS benchmark
SRR26789474,33,33,Training,GPS benchmark
ERR326718,9V,9,Training,GPS benchmark
SRR26790130,8,8,Training,GPS benchmark
SRR26931793,12F,12,Training,GPS benchmark
SRR26879593,8,8,Training,GPS benchmark
SRR26714369,11A,11,Training,GPS benchmark
SRR26879743,23B,23,Training,GPS benchmark
SRR26818253,8,8,Training,GPS benchmark
ERR869913,9V,9,Training,GPS benchmark
ERR2680855,19A,19,Training,GPS benchmark
ERR736900,6B,6,Training,GPS benchmark
ERR13375035,3,3,Training,GPS benchmark
ERR13365883,9N,9,Training,GPS benchmark
ERR13365134,9N,9,Testing,GPS benchmark
ERR13375088,11A,11,Training,GPS benchmark
ERR1202347,6A,6,Training,GPS benchmark
ERR2853496,19A,19,Training,GPS benchmark
SRR26834172,15A,15,Training,GPS benchmark
ERR2681040,19F,19,Training,GPS benchmark
ERR913335,19A,19,Testing,GPS benchmark
ERR730282,11A,11,Training,GPS benchmark
ERR3795828,14,14,Training,GPS benchmark
ERR433910,4,4,Training,GPS benchmark
ERR2681060,24A,24,Training,GPS benchmark
SRR26884634,35B,35,Training,GPS benchmark
ERR751100,3,3,Training,GPS benchmark
SRR26931072,3,3,Testing,GPS benchmark
ERR13374969,3,3,Testing,GPS benchmark
ERR730289,6A,6,Training,GPS benchmark
ERR7567937,10A,10,Training,GPS benchmark
ERR1658130,8,8,Training,GPS benchmark
SRR26594825,17F,17,Testing,GPS benchmark
SRR26797694,8,8,Training,GPS benchmark
ERR909281,15B/C,15,Training,GPS benchmark
SRR26878168,23A,23,Training,GPS benchmark
SRR26818529,11E,11,Testing,GPS benchmark
SRR26714611,8,8,Training,GPS benchmark
SRR26880225,3,3,Training,GPS benchmark
SRR26797267,28F,28,Training,GPS benchmark
ERR925205,13,13,Training,GPS benchmark
SRR26797855,12F,12,Training,GPS benchmark
SRR26594801,9N,9,Training,GPS benchmark
ERR774201,1,1,Training,GPS benchmark
ERR13374683,35F,35,Training,GPS benchmark
ERR3227774,14,14,Training,GPS benchmark
SRR26673572,19A,19,Training,GPS benchmark
SRR26797239,3,3,Training,GPS benchmark
ERR2225294,14,14,Training,GPS benchmark
ERR925131,37,37,Training,GPS benchmark
ERR909114,16F,16,Training,GPS benchmark
SRR26878367,10A,10,Testing,GPS benchmark
SRR26714834,8,8,Training,GPS benchmark
SRR26931505,12F,12,Training,GPS benchmark
SRR26834104,22F,22,Training,GPS benchmark
SRR26910384,3,3,Training,GPS benchmark
SRR26880262,11A,11,Training,GPS benchmark
ERR1422575,6B,6,Training,GPS benchmark
SRR26911138,3,3,Training,GPS benchmark
ERR1202482,23A,23,Training,GPS benchmark
SRR26673613,23B,23,Training,GPS benchmark
SRR26834375,25F,25,Training,GPS benchmark
ERR1202178,11A,11,Training,GPS benchmark
ERR13364925,18C,18,Training,GPS benchmark
ERR2667161,24F,24,Training,GPS benchmark
SRR26833552,3,3,Training,GPS benchmark
ERR2680904,19A,19,Training,GPS benchmark
ERR742647,6C,6,Training,GPS benchmark
SRR26879486,8,8,Training,GPS benchmark
ERR326733,3,3,Training,GPS benchmark
ERR730850,14,14,Training,GPS benchmark
ERR14654033,19A,19,Training,GPS benchmark
ERR884376,23F,23,Testing,GPS benchmark
ERR490780,4,4,Training,GPS benchmark
ERR3899493,18C,18,Training,GPS benchmark
SRR26789422,4,4,Training,GPS benchmark
ERR5104421,4,4,Training,GPS benchmark
SRR26879863,10A,10,Training,GPS benchmark
SRR26789822,35B,35,Training,GPS benchmark
SRR26911081,15B,15,Training,GPS benchmark
ERR13374961,19F,19,Training,GPS benchmark
SRR26930769,15A,15,Training,GPS benchmark
SRR26749994,9N,9,Training,GPS benchmark
ERR1191990,16F,16,Training,GPS benchmark
ERR449218,18B,18,Training,GPS benchmark
ERR3796711,24F,24,Training,GPS benchmark
ERR730650,15B/C,15,Training,GPS benchmark
ERR568725,9V,9,Training,GPS benchmark
SRR26714355,8,8,Training,GPS benchmark
SRR26930785,8,8,Training,GPS benchmark
SRR26594839,12F,12,Training,GPS benchmark
ERR913386,12F,12,Training,GPS benchmark
ERR884467,19A,19,Training,GPS benchmark
SRR26797753,15A,15,Training,GPS benchmark
ERR3192256,14,14,Training,GPS benchmark
SRR26749405,19F,19,Training,GPS benchmark
SRR26749387,8,8,Testing,GPS benchmark
SRR26672888,9N,9,Training,GPS benchmark
SRR26930252,8,8,Testing,GPS benchmark
SRR26931795,19F,19,Training,GPS benchmark
ERR13364470,8,8,Training,GPS benchmark
ERR2667440,19A,19,Training,GPS benchmark
ERR1065925,19F,19,Training,GPS benchmark
SRR26878732,8,8,Training,GPS benchmark
ERR1066133,34,34,Training,GPS benchmark
SRR26789957,23A,23,Training,GPS benchmark
ERR13365811,9N,9,Training,GPS benchmark
ERR742833,6B,6,Training,GPS benchmark
ERR1453601,4,4,Training,GPS benchmark
SRR26749348,15A,15,Training,GPS benchmark
ERR338177,14,14,Training,GPS benchmark
SRR26789357,12F,12,Training,GPS benchmark
SRR26714696,22F,22,Training,GPS benchmark
ERR338194,19F,19,Training,GPS benchmark
SRR26834064,3,3,Training,GPS benchmark
ERR338199,7F,7,Training,GPS benchmark
SRR26672953,8,8,Testing,GPS benchmark
SRR26673633,6C,6,Training,GPS benchmark
SRR26673270,12F,12,Training,GPS benchmark
SRR26749987,3,3,Training,GPS benchmark
ERR13365564,8,8,Training,GPS benchmark
ERR751102,10A,10,Training,GPS benchmark
SRR26818650,9N,9,Training,GPS benchmark
ERR908998,23F,23,Training,GPS benchmark
SRR26833854,3,3,Testing,GPS benchmark
ERR433897,14,14,Training,GPS benchmark
SRR26930534,3,3,Training,GPS benchmark
SRR26594857,15A,15,Training,GPS benchmark
SRR26910922,19A,19,Training,GPS benchmark
ERR3270755,31,31,Training,GPS benchmark
SRR26797259,9N,9,Training,GPS benchmark
ERR742478,14,14,Training,GPS benchmark
ERR1453441,1,1,Training,GPS benchmark
ERR600161,19F,19,Testing,GPS benchmark
SRR26749901,8,8,Testing,GPS benchmark
SRR26789646,12F,12,Training,GPS benchmark
SRR26594307,23A,23,Training,GPS benchmark
ERR884399,14,14,Testing,GPS benchmark
ERR14653964,23F,23,Training,GPS benchmark
SRR26911037,8,8,Training,GPS benchmark
ERR1788369,14,14,Training,GPS benchmark
ERR632995,9V,9,Training,GPS benchmark
ERR862337,11A,11,Training,GPS benchmark
ERR1756487,1,1,Testing,GPS benchmark
SRR26877854,19A,19,Training,GPS benchmark
SRR26910762,23B,23,Training,GPS benchmark
SRR26673348,12F,12,Training,GPS benchmark
ERR913138,6B,6,Training,GPS benchmark
SRR26910902,11D,11,Training,GPS benchmark
SRR26878047,8,8,Testing,GPS benchmark
ERR2091140,1,1,Testing,GPS benchmark
ERR1788284,31,31,Training,GPS benchmark
SRR26879781,3,3,Testing,GPS benchmark
ERR913564,34,34,Training,GPS benchmark
ERR1065683,19F,19,Training,GPS benchmark
ERR1065334,19F,19,Training,GPS benchmark
SRR26673467,33F,33,Training,GPS benchmark
ERR13366047,11A,11,Training,GPS benchmark
SRR26930672,38,38,Training,GPS benchmark
ERR1065461,15A,15,Training,GPS benchmark
ERR3270756,34,34,Training,GPS benchmark
ERR1202613,7F,7,Training,GPS benchmark
ERR884479,19A,19,Training,GPS benchmark
SRR26878155,24,24,Training,GPS benchmark
ERR714507,23F,23,Training,GPS benchmark
ERR1430820,15A,15,Training,GPS benchmark
ERR980220,1,1,Testing,GPS benchmark
SRR26910286,6C,6,Training,GPS benchmark
ERR1192063,20A,20,Training,GPS benchmark
ERR730403,10A,10,Testing,GPS benchmark
ERR2089441,38,38,Training,GPS benchmark
SRR26749612,12F,12,Testing,GPS benchmark
ERR1422568,19F,19,Training,GPS benchmark
SRR26594486,10A,10,Training,GPS benchmark
ERR505908,6A,6,Training,GPS benchmark
SRR26930918,1,1,Training,GPS benchmark
ERR1453453,6A,6,Training,GPS benchmark
ERR1192098,17F,17,Training,GPS benchmark
SRR26910280,15B,15,Training,GPS benchmark
SRR26931050,3,3,Training,GPS benchmark
ERR568681,8,8,Training,GPS benchmark
ERR14653994,19A,19,Training,GPS benchmark
ERR3796372,14,14,Testing,GPS benchmark
ERR876631,18C,18,Training,GPS benchmark
SRR26834060,8,8,Training,GPS benchmark
SRR26714679,6C,6,Training,GPS benchmark
ERR730552,1,1,Training,GPS benchmark
SRR26797715,8,8,Testing,GPS benchmark
ERR13364720,22F,22,Testing,GPS benchmark
ERR13365911,3,3,Training,GPS benchmark
SRR26797657,15B,15,Training,GPS benchmark
ERR3796845,24F,24,Training,GPS benchmark
SRR26930546,8,8,Training,GPS benchmark
SRR26594201,9N,9,Training,GPS benchmark
ERR913260,6A,6,Training,GPS benchmark
ERR730735,4,4,Training,GPS benchmark
ERR1202529,13,13,Training,GPS benchmark
ERR773898,19A,19,Training,GPS benchmark
ERR997620,5,5,Training,GPS benchmark
ERR13365116,6E,6,Training,GPS benchmark
SRR26879494,31,31,Training,GPS benchmark
ERR505542,23F,23,Training,GPS benchmark
SRR26714894,15B,15,Training,GPS benchmark
ERR568743,6A,6,Training,GPS benchmark
SRR26834063,22F,22,Training,GPS benchmark
ERR913304,38,38,Training,GPS benchmark
ERR319374,6B,6,Training,GPS benchmark
SRR26673519,33F,33,Training,GPS benchmark
ERR326700,9V,9,Testing,GPS benchmark
SRR26878371,3,3,Training,GPS benchmark
SRR26672998,9N,9,Training,GPS benchmark
ERR662388,15B/C,15,Training,GPS benchmark
ERR980091,15A,15,Training,GPS benchmark
ERR1065694,16F,16,Training,GPS benchmark
SRR26714161,8,8,Training,GPS benchmark
SRR26880115,19F,19,Training,GPS benchmark
ERR13365784,38,38,Testing,GPS benchmark
SRR26930964,8,8,Testing,GPS benchmark
SRR26931910,7C,7,Training,GPS benchmark
SRR26884487,8,8,Training,GPS benchmark
SRR26879967,13,13,Training,GPS benchmark
ERR913441,15B/C,15,Training,GPS benchmark
SRR26930442,19F,19,Training,GPS benchmark
ERR774348,18C,18,Training,GPS benchmark
SRR26797352,33F,33,Training,GPS benchmark
ERR13366187,23F,23,Training,GPS benchmark
ERR600435,6B,6,Training,GPS benchmark
SRR26750154,11A,11,Training,GPS benchmark
SRR26818298,35B,35,Training,GPS benchmark
ERR1422556,12F,12,Training,GPS benchmark
SRR26930266,10A,10,Testing,GPS benchmark
ERR2667546,14,14,Training,GPS benchmark
SRR26878663,16F,16,Training,GPS benchmark
SRR26797329,3,3,Training,GPS benchmark
SRR26714495,19F,19,Training,GPS benchmark
SRR26910764,10A,10,Training,GPS benchmark
SRR26930622,8,8,Training,GPS benchmark
SRR26817863,15A,15,Training,GPS benchmark
SRR26931799,22F,22,Training,GPS benchmark
ERR13365395,15C,15,Training,GPS benchmark
ERR2090057,11A,11,Training,GPS benchmark
SRR26818447,8,8,Training,GPS benchmark
SRR26797265,3,3,Training,GPS benchmark
ERR3303408,7B,7,Training,GPS benchmark
ERR13374688,19A,19,Testing,GPS benchmark
ERR1202556,46,46,Training,GPS benchmark
SRR26878391,8,8,Training,GPS benchmark
ERR2090863,3,3,Training,GPS benchmark
SRR26883922,8,8,Training,GPS benchmark
ERR2090233,19F,19,Testing,GPS benchmark
SRR26880081,3,3,Training,GPS benchmark
ERR773924,1,1,Training,GPS benchmark
SRR26877837,10A,10,Training,GPS benchmark
ERR1065380,16F,16,Training,GPS benchmark
ERR2089459,9V,9,Testing,GPS benchmark
SRR26833843,19A,19,Training,GPS benchmark
ERR2089338,19A,19,Training,GPS benchmark
SRR26818525,8,8,Training,GPS benchmark
ERR1065609,13,13,Training,GPS benchmark
ERR1422630,9V,9,Training,GPS benchmark
ERR876594,23F,23,Training,GPS benchmark
ERR2090158,19F,19,Training,GPS benchmark
ERR1065836,35B,35,Training,GPS benchmark
ERR501532,23F,23,Training,GPS benchmark
ERR997597,6B,6,Training,GPS benchmark
ERR736924,6A,6,Training,GPS benchmark
ERR1453534,14,14,Training,GPS benchmark
ERR3303192,4,4,Training,GPS benchmark
SRR26834217,33F,33,Training,GPS benchmark
SRR26817914,8,8,Training,GPS benchmark
ERR13365423,22F,22,Training,GPS benchmark
SRR26833862,8,8,Training,GPS benchmark
ERR2853613,19A,19,Training,GPS benchmark
ERR2090871,14,14,Training,GPS benchmark
SRR26672838,8,8,Training,GPS benchmark
ERR3796579,24F,24,Training,GPS benchmark
ERR490730,19F,19,Training,GPS benchmark
ERR774356,23F,23,Training,GPS benchmark
ERR2668139,6B,6,Training,GPS benchmark
ERR7567875,6E,6,Training,GPS benchmark
ERR870211,21,21,Training,GPS benchmark
ERR869898,19F,19,Training,GPS benchmark
SRR26714901,22F,22,Training,GPS benchmark
ERR577957,6B,6,Training,GPS benchmark
ERR2681390,14,14,Training,GPS benchmark
ERR1202110,19F,19,Training,GPS benchmark
ERR2089711,33F,33,Training,GPS benchmark
SRR26595076,19A,19,Training,GPS benchmark
SRR26673721,8,8,Training,GPS benchmark
ERR352043,12F,12,Training,GPS benchmark
ERR774349,35D,35,Training,GPS benchmark
SRR26797360,22F,22,Training,GPS benchmark
ERR3303267,6A,6,Training,GPS benchmark
SRR26673650,7F,7,Training,GPS benchmark
SRR26749379,22F,22,Training,GPS benchmark
ERR1214706,4,4,Training,GPS benchmark
ERR8481652,8,8,Training,GPS benchmark
SRR26673370,12F,12,Training,GPS benchmark
ERR1214652,6C,6,Training,GPS benchmark
ERR980187,3,3,Testing,GPS benchmark
SRR26833814,16F,16,Testing,GPS benchmark
ERR913404,40,40,Training,GPS benchmark
SRR26594251,8,8,Training,GPS benchmark
ERR1065242,19F,19,Training,GPS benchmark
ERR1065148,16F,16,Training,GPS benchmark
ERR13365073,33F,33,Training,GPS benchmark
ERR646603,6B,6,Training,GPS benchmark
SRR26594169,16F,16,Training,GPS benchmark
ERR774616,9V,9,Training,GPS benchmark
ERR449159,19F,19,Training,GPS benchmark
ERR1422468,23F,23,Training,GPS benchmark
SRR26910360,19A,19,Training,GPS benchmark
ERR13365149,14,14,Training,GPS benchmark
ERR884358,23F,23,Testing,GPS benchmark
ERR2681359,18C,18,Training,GPS benchmark
SRR26749692,8,8,Training,GPS benchmark
SRR26714706,8,8,Training,GPS benchmark
SRR26594289,8,8,Training,GPS benchmark
ERR316891,18C,18,Training,GPS benchmark
ERR730298,6A,6,Training,GPS benchmark
SRR26879941,7C,7,Training,GPS benchmark
ERR730897,9V,9,Training,GPS benchmark
ERR13365350,23A,23,Training,GPS benchmark
ERR997671,1,1,Training,GPS benchmark
SRR26749271,16F,16,Training,GPS benchmark
SRR26790151,12F,12,Training,GPS benchmark
ERR925284,38,38,Training,GPS benchmark
SRR26673629,9N,9,Training,GPS benchmark
SRR26878455,8,8,Training,GPS benchmark
ERR662357,22F,22,Training,GPS benchmark
ERR1192028,35B,35,Training,GPS benchmark
ERR2680647,6A,6,Training,GPS benchmark
SRR26884019,11A,11,Training,GPS benchmark
ERR2089580,14,14,Training,GPS benchmark
SRR26834193,8,8,Training,GPS benchmark
ERR750933,14,14,Training,GPS benchmark
ERR997566,6A,6,Training,GPS benchmark
ERR1453684,15A,15,Testing,GPS benchmark
ERR3303256,35B,35,Training,GPS benchmark
SRR26790004,23A,23,Training,GPS benchmark
SRR26673338,3,3,Training,GPS benchmark
ERR2681252,11A,11,Testing,GPS benchmark
ERR913537,6A,6,Training,GPS benchmark
ERR1788134,23A,23,Training,GPS benchmark
SRR26833845,22F,22,Training,GPS benchmark
ERR2667134,3,3,Training,GPS benchmark
ERR714672,19A,19,Training,GPS benchmark
ERR884351,3,3,Training,GPS benchmark
SRR26594454,8,8,Training,GPS benchmark
SRR26877759,8,8,Testing,GPS benchmark
ERR2681300,11A,11,Training,GPS benchmark
ERR338250,3,3,Training,GPS benchmark
ERR13364710,35B,35,Training,GPS benchmark
ERR1191924,19A,19,Training,GPS benchmark
ERR1430850,21,21,Training,GPS benchmark
SRR26818481,6C,6,Training,GPS benchmark
SRR26883902,22F,22,Training,GPS benchmark
SRR26749296,8,8,Training,GPS benchmark
ERR1066265,6A,6,Training,GPS benchmark
SRR26749975,8,8,Training,GPS benchmark
ERR750848,23F,23,Training,GPS benchmark
ERR1658105,6A,6,Training,GPS benchmark
SRR26749990,22F,22,Training,GPS benchmark
SRR26673174,8,8,Training,GPS benchmark
ERR13365420,15A,15,Training,GPS benchmark
SRR26877780,3,3,Training,GPS benchmark
SRR26910363,9N,9,Training,GPS benchmark
ERR2667509,23F,23,Training,GPS benchmark
ERR2667394,35B,35,Testing,GPS benchmark
ERR884460,19A,19,Testing,GPS benchmark
ERR870116,5,5,Training,GPS benchmark
ERR1288971,38,38,Training,GPS benchmark
ERR13375004,24,24,Training,GPS benchmark
ERR2090058,15A,15,Training,GPS benchmark
ERR316833,3,3,Training,GPS benchmark
ERR1202408,3,3,Training,GPS benchmark
ERR1422642,24F,24,Training,GPS benchmark
ERR2667389,34,34,Training,GPS benchmark
SRR26884192,8,8,Training,GPS benchmark
SRR26878720,3,3,Training,GPS benchmark
SRR26930752,20B,20,Training,GPS benchmark
ERR505765,7F,7,Training,GPS benchmark
SRR26790059,3,3,Training,GPS benchmark
ERR869865,21,21,Training,GPS benchmark
SRR26797130,3,3,Training,GPS benchmark
ERR714326,6B,6,Training,GPS benchmark
ERR773939,1,1,Training,GPS benchmark
SRR26833992,11A,11,Training,GPS benchmark
SRR26911044,16F,16,Training,GPS benchmark
ERR326364,6B,6,Training,GPS benchmark
SRR26595079,8,8,Training,GPS benchmark
ERR600562,23F,23,Training,GPS benchmark
ERR2091282,12F,12,Training,GPS benchmark
