sample_id,true_serotype,true_serogroup,ALLCAPS,ProkBERT,benchmark
ERR13374720,10B,10,10B,10B,GPS benchmark
ERR1422363,19A,19,19A,19A,GPS benchmark
ERR876718,14,14,14,14,GPS benchmark
SRR26749914,23B,23,23B,23B,GPS benchmark
ERR2090145,19F,19,19F,19F,GPS benchmark
SRR26594761,33F,33,33F,33F,GPS benchmark
SRR26834047,8,8,8,8,GPS benchmark
ERR2089656,1,1,1,1,GPS benchmark
ERR2668039,14,14,14,14,GPS benchmark
ERR1065840,23B,23,23B,23B,GPS benchmark
SRR26714581,8,8,8,8,GPS benchmark
ERR876647,14,14,14,14,GPS benchmark
ERR751132,15A,15,15A,15A,GPS benchmark
SRR26878322,35F,35,35F,35F,GPS benchmark
ERR3270839,16F,16,16F,16F,GPS benchmark
ERR774683,1,1,1,1,GPS benchmark
ERR751187,6B,6,6B,6E,GPS benchmark
ERR913290,13,13,13,13,GPS benchmark
ERR1191872,14,14,14,14,GPS benchmark
ERR3796746,24F,24,24F,24F,GPS benchmark
ERR2681331,6B,6,6B,6E,GPS benchmark
ERR577979,19F,19,19F,19F,GPS benchmark
SRR26673244,22F,22,22F,22F,GPS benchmark
ERR913154,6A,6,6A,6A,GPS benchmark
ERR714663,1,1,1,1,GPS benchmark
ERR425406,1,1,1,1,GPS benchmark
ERR2089455,15A,15,15A,15A,GPS benchmark
ERR876754,6B,6,6B,6E,GPS benchmark
SRR26797283,33F,33,33F,33F,GPS benchmark
ERR1453633,6C,6,6C,6C,GPS benchmark
ERR600196,19A,19,19A,19A,GPS benchmark
SRR26879532,22F,22,22F,22F,GPS benchmark
SRR26880360,11,11,11A,11A,GPS benchmark
SRR26749693,10A,10,10A,10A,GPS benchmark
ERR13366145,6E,6,6B,6E,GPS benchmark
ERR701846,1,1,1,1,GPS benchmark
SRR26673155,15A,15,15A,15A,GPS benchmark
ERR862292,12F,12,12F,12F,GPS benchmark
SRR26878677,3,3,3,3,GPS benchmark
ERR1066049,18C,18,18C,18C,GPS benchmark
SRR26883937,33F,33,33F,33F,GPS benchmark
ERR449161,23F,23,23F,23F,GPS benchmark
ERR570477,19F,19,19F,19F,GPS benchmark
ERR884581,3,3,3,3,GPS benchmark
SRR26789977,12F,12,12F,12F,GPS benchmark
ERR913282,23F,23,23F,23F,GPS benchmark
SRR26818103,35F,35,35F,35F,GPS benchmark
ERR876454,6A,6,6A,6A,GPS benchmark
ERR13374658,35B,35,35B,35B,GPS benchmark
SRR26749720,12F,12,12F,46,GPS benchmark
SRR26594661,9N,9,9N,9N,GPS benchmark
ERR876468,19F,19,19F,19F,GPS benchmark
ERR3796936,24F,24,24F,24F,GPS benchmark
SRR26797339,8,8,8,8,GPS benchmark
ERR3669268,12F,12,12F,12B,GPS benchmark
SRR26880372,15A,15,15A,15A,GPS benchmark
ERR742771,19F,19,19F,10A,GPS benchmark
ERR3796939,24F,24,24F,24A,GPS benchmark
ERR730587,1,1,1,1,GPS benchmark
ERR1066371,19A,19,19A,19A,GPS benchmark
SRR26878126,23B,23,23B,23B,GPS benchmark
SRR26818505,38,38,38,38,GPS benchmark
ERR2091009,18C,18,18C,18C,GPS benchmark
SRR26790168,19F,19,19F,19F,GPS benchmark
SRR26834049,3,3,3,3,GPS benchmark
ERR2680857,23A,23,23A,23A,GPS benchmark
SRR26931323,3,3,3,3,GPS benchmark
SRR26884303,3,3,3,3,GPS benchmark
ERR3796004,14,14,14,14,GPS benchmark
ERR506067,7F,7,7F,7F,GPS benchmark
ERR13364934,7F,7,7F,7F,GPS benchmark
SRR26789518,38,38,38,38,GPS benchmark
ERR925123,9V,9,9V,9V,GPS benchmark
ERR1453638,33F,33,33F,33F,GPS benchmark
ERR750845,23F,23,23F,23F,GPS benchmark
ERR714522,6B,6,6B,6B,GPS benchmark
SRR26789605,6C,6,6C,6C,GPS benchmark
ERR730305,11A,11,11A,11A,GPS benchmark
ERR3303166,23F,23,23F,23F,GPS benchmark
ERR633038,6A,6,6A,6A,GPS benchmark
ERR2089938,16F,16,16F,16F,GPS benchmark
ERR1422377,3,3,3,3,GPS benchmark
ERR3796757,24F,24,24F,24F,GPS benchmark
ERR1106657,1,1,1,1,GPS benchmark
ERR2667075,3,3,3,3,GPS benchmark
SRR26834265,15A,15,15A,15A,GPS benchmark
ERR633041,6A,6,6A,6A,GPS benchmark
ERR742529,14,14,14,14,GPS benchmark
ERR1430876,1,1,1,1,GPS benchmark
SRR26910272,12F,12,12F,12F,GPS benchmark
ERR352003,23F,23,23F,23F,GPS benchmark
ERR1214674,6B,6,6B,6E,GPS benchmark
ERR1202214,6B,6,6B,6E,GPS benchmark
SRR26818046,31,31,31,31,GPS benchmark
ERR13364394,14,14,14,14,GPS benchmark
ERR316782,19A,19,19A,19A,GPS benchmark
SRR26594828,33F,33,33F,33F,GPS benchmark
ERR7568077,10A,10,10A,10A,GPS benchmark
SRR26931139,8,8,8,8,GPS benchmark
ERR2090750,12F,12,12F,12F,GPS benchmark
ERR13365515,15A,15,15A,15A,GPS benchmark
ERR750756,7F,7,7F,7F,GPS benchmark
SRR26749563,8,8,8,8,GPS benchmark
ERR1106731,1,1,1,1,GPS benchmark
ERR632960,19A,19,19A,19A,GPS benchmark
SRR26673430,11E,11,11A,11A,GPS benchmark
ERR1430918,34,34,34,34,GPS benchmark
ERR7567823,35B,35,35B,35D,GPS benchmark
ERR1065755,11A,11,11A,11A,GPS benchmark
ERR2680966,23F,23,23F,23F,GPS benchmark
ERR3796701,24F,24,24F,24F,GPS benchmark
ERR730143,19A,19,19A,19A,GPS benchmark
ERR1453521,1,1,1,1,GPS benchmark
SRR26594277,12F,12,12F,12F,GPS benchmark
SRR26789551,6C,6,6C,6C,GPS benchmark
SRR26883869,35F,35,35F,35F,GPS benchmark
ERR2089778,1,1,1,1,GPS benchmark
ERR600286,6A,6,6A,6A,GPS benchmark
SRR26797839,4,4,4,4,GPS benchmark
ERR600251,33F,33,33F,33F,GPS benchmark
ERR632899,4,4,4,9V,GPS benchmark
ERR505689,19F,19,19F,19F,GPS benchmark
ERR909315,19A,19,19A,19A,GPS benchmark
ERR1066256,12F,12,12F,12F,GPS benchmark
ERR7567800,12F,12,12F,12B,GPS benchmark
ERR13364651,19F,19,19F,19F,GPS benchmark
ERR869912,1,1,1,1,GPS benchmark
ERR1430863,1,1,1,1,GPS benchmark
ERR2667899,5,5,5,5,GPS benchmark
ERR742570,5,5,5,5,GPS benchmark
SRR26883943,20B,20,20B,20A,GPS benchmark
ERR2091113,33F,33,33F,33F,GPS benchmark
SRR26789587,8,8,8,8,GPS benchmark
SRR26878136,19A,19,19A,19A,GPS benchmark
ERR1594532,12F,12,12F,12F,GPS benchmark
SRR26910249,8,8,8,8,GPS benchmark
ERR2667999,1,1,1,1,GPS benchmark
ERR13374820,10A,10,10A,10A,GPS benchmark
ERR1202439,23F,23,23F,23F,GPS benchmark
ERR701839,6B,6,6B,6B,GPS benchmark
SRR26884152,3,3,3,3,GPS benchmark
ERR2853506,19A,19,19A,19A,GPS benchmark
ERR632924,6B,6,6B,6B,GPS benchmark
ERR742515,6B,6,6B,6E,GPS benchmark
ERR2667883,1,1,1,1,GPS benchmark
ERR586458,7F,7,7F,7F,GPS benchmark
ERR979922,1,1,1,1,GPS benchmark
SRR26833870,8,8,8,8,GPS benchmark
SRR26911005,19A,19,19A,19A,GPS benchmark
ERR751110,6A,6,6A,6A,GPS benchmark
ERR750946,23F,23,23F,23F,GPS benchmark
ERR568515,1,1,1,1,GPS benchmark
SRR26883866,33F,33,33F,33F,GPS benchmark
ERR2667539,14,14,14,14,GPS benchmark
ERR714597,18C,18,18C,18C,GPS benchmark
ERR979947,7B,7,7B,7B,GPS benchmark
ERR1453356,16F,16,16F,16F,GPS benchmark
SRR26834366,15B,15,15B,15B,GPS benchmark
SRR26750032,33F,33,33F,33F,GPS benchmark
SRR26910514,8,8,8,8,GPS benchmark
SRR26817915,35B,35,35B,35D,GPS benchmark
ERR997546,14,14,14,14,GPS benchmark
SRR26878156,23B,23,23B,23B,GPS benchmark
ERR1422447,23A,23,23A,23A,GPS benchmark
SRR26797638,15C,15,15C,15C,GPS benchmark
ERR2090430,5,5,5,5,GPS benchmark
SRR26818387,8,8,8,8,GPS benchmark
ERR2680585,6B,6,6B,6E,GPS benchmark
SRR26911199,9N,9,9N,9N,GPS benchmark
ERR1202323,1,1,1,1,GPS benchmark
ERR730193,19F,19,19F,19F,GPS benchmark
ERR884661,13,13,13,13,GPS benchmark
ERR774722,14,14,14,14,GPS benchmark
SRR26594478,9N,9,9N,9N,GPS benchmark
SRR26594817,8,8,8,8,GPS benchmark
SRR26879784,8,8,8,8,GPS benchmark
SRR26818297,17F,17,17F,17F,GPS benchmark
ERR2667102,14,14,14,14,GPS benchmark
SRR26594637,8,8,8,8,GPS benchmark
ERR2089189,40,40,40,40,GPS benchmark
ERR13366035,14,14,14,14,GPS benchmark
ERR433821,1,1,1,1,GPS benchmark
SRR26834274,6C,6,6C,6D,GPS benchmark
ERR311076,23F,23,23F,23F,GPS benchmark
ERR2089985,7C,7,7C,7C,GPS benchmark
SRR26879483,9N,9,9N,9N,GPS benchmark
ERR600569,18C,18,18C,18B,GPS benchmark
ERR2089615,14,14,14,14,GPS benchmark
ERR773966,6A,6,6A,6A,GPS benchmark
ERR1756413,19F,19,19F,19F,GPS benchmark
ERR774702,13,13,13,13,GPS benchmark
ERR600525,19F,19,19F,19F,GPS benchmark
SRR26789307,31,31,31,31,GPS benchmark
ERR3303455,19A,19,19A,19A,GPS benchmark
SRR26749928,9V,9,9V,9V,GPS benchmark
ERR1191983,5,5,5,5,GPS benchmark
SRR26749931,3,3,3,3,GPS benchmark
SRR26910970,11A,11,11A,11E,GPS benchmark
SRR26910537,15A,15,15A,15A,GPS benchmark
ERR2680705,6B,6,6B,6B,GPS benchmark
ERR9796469,11A,11,11A,11A,GPS benchmark
ERR1066179,19A,19,19A,19A,GPS benchmark
ERR774192,8,8,8,8,GPS benchmark
SRR26789506,10A,10,10A,10A,GPS benchmark
SRR26877924,10A,10,10A,10A,GPS benchmark
ERR2089427,11A,11,11A,11A,GPS benchmark
ERR714364,6B,6,6B,6E,GPS benchmark
ERR632923,14,14,14,14,GPS benchmark
SRR26750146,15A,15,15A,15A,GPS benchmark
ERR714596,4,4,4,4,GPS benchmark
ERR351998,6A,6,6A,6A,GPS benchmark
SRR26834522,19A,19,19A,19A,GPS benchmark
SRR26594666,3,3,3,3,GPS benchmark
SRR26673449,8,8,8,8,GPS benchmark
SRR26789260,12F,12,12F,12F,GPS benchmark
ERR1106729,12F,12,12F,12B,GPS benchmark
SRR26594986,35B,35,35B,35B,GPS benchmark
SRR26749553,8,8,8,8,GPS benchmark
ERR1422337,1,1,1,1,GPS benchmark
SRR26789948,12F,12,12F,12F,GPS benchmark
ERR1065668,19A,19,19A,19A,GPS benchmark
ERR2680964,23F,23,23F,23F,GPS benchmark
ERR714641,6A,6,6A,6A,GPS benchmark
SRR26750124,19A,19,19A,19A,GPS benchmark
ERR1065999,34,34,34,34,GPS benchmark
SRR26877770,22F,22,22F,22F,GPS benchmark
ERR774061,8,8,8,8,GPS benchmark
SRR26930282,12F,12,12F,12F,GPS benchmark
ERR862379,21,21,21,21,GPS benchmark
SRR26879472,10A,10,10A,10A,GPS benchmark
ERR1422652,19A,19,19A,19A,GPS benchmark
ERR1066071,6B,6,6B,6B,GPS benchmark
ERR2667975,6B,6,6B,6E,GPS benchmark
SRR26883985,22F,22,22F,22F,GPS benchmark
SRR26879974,8,8,8,8,GPS benchmark
ERR1288980,2,2,2,2,GPS benchmark
ERR1788391,8,8,8,8,GPS benchmark
SRR26594574,16F,16,16F,16F,GPS benchmark
SRR26714333,33F,33,33F,33F,GPS benchmark
ERR1066302,8,8,8,8,GPS benchmark
ERR1288822,11A,11,11A,11A,GPS benchmark
SRR26818326,6C,6,6C,6C,GPS benchmark
SRR26931488,8,8,8,8,GPS benchmark
ERR862512,23F,23,23F,23F,GPS benchmark
ERR2089461,23A,23,23A,23A,GPS benchmark
ERR980208,23A,23,23A,23A,GPS benchmark
SRR26883928,8,8,8,8,GPS benchmark
ERR433541,23F,23,23F,23F,GPS benchmark
ERR1422374,12F,12,12F,12F,GPS benchmark
ERR3796891,24F,24,24F,24F,GPS benchmark
ERR730511,1,1,1,1,GPS benchmark
SRR26595105,8,8,8,8,GPS benchmark
ERR13365217,18C,18,18C,18B,GPS benchmark
SRR26884258,19A,19,19A,19A,GPS benchmark
ERR1065976,38,38,38,38,GPS benchmark
SRR26931727,15A,15,15A,15A,GPS benchmark
ERR2090072,18C,18,18C,18C,GPS benchmark
ERR2090403,38,38,38,25A,GPS benchmark
SRR26797170,12F,12,12F,12F,GPS benchmark
ERR1453467,35A,35,35A,35A,GPS benchmark
SRR26750006,12F,12,12F,12F,GPS benchmark
ERR997655,16F,16,16F,16F,GPS benchmark
SRR26833818,22F,22,22F,22F,GPS benchmark
SRR26818076,22F,22,22F,22F,GPS benchmark
SRR26883833,22F,22,22F,22F,GPS benchmark
ERR870230,5,5,5,5,GPS benchmark
ERR884568,23B,23,14,23F,GPS benchmark
SRR26789786,8,8,8,8,GPS benchmark
ERR3899209,6B,6,6B,6E,GPS benchmark
SRR26714447,12F,12,12F,12F,GPS benchmark
SRR26818263,8,8,8,8,GPS benchmark
ERR3796827,24F,24,24F,24F,GPS benchmark
ERR2089369,7F,7,7F,7F,GPS benchmark
ERR1453573,4,4,4,4,GPS benchmark
ERR1065872,23F,23,23F,23F,GPS benchmark
ERR425393,9V,9,9V,9V,GPS benchmark
ERR490706,14,14,14,14,GPS benchmark
ERR1453690,15A,15,15A,15A,GPS benchmark
ERR742706,6A,6,6A,6A,GPS benchmark
SRR26930687,3,3,3,3,GPS benchmark
ERR730350,6A,6,6A,6A,GPS benchmark
ERR2667237,14,14,14,14,GPS benchmark
ERR13365219,19F,19,19F,19F,GPS benchmark
ERR340835,18C,18,18C,18C,GPS benchmark
ERR742408,38,38,38,38,GPS benchmark
SRR26910435,8,8,8,8,GPS benchmark
ERR2089160,5,5,5,5,GPS benchmark
ERR3796761,24F,24,24F,24F,GPS benchmark
ERR3303322,1,1,1,1,GPS benchmark
SRR26834333,8,8,8,8,GPS benchmark
ERR2680698,6A,6,6A,6A,GPS benchmark
SRR26931126,8,8,8,8,GPS benchmark
SRR26931725,7C,7,7C,7C,GPS benchmark
ERR13364608,14,14,14,14,GPS benchmark
ERR632996,9V,9,9V,9V,GPS benchmark
SRR26911023,8,8,8,8,GPS benchmark
ERR730172,34,34,34,34,GPS benchmark
ERR596408,22F,22,22F,22F,GPS benchmark
ERR1453381,35B,35,35B,35B,GPS benchmark
SRR26714711,8,8,8,8,GPS benchmark
ERR1191945,10A,10,10A,10A,GPS benchmark
SRR26594683,12F,12,12F,12F,GPS benchmark
SRR26931453,6C,6,6C,6C,GPS benchmark
SRR26673002,7F,7,7F,7F,GPS benchmark
SRR26673010,20B,20,20B,20B,GPS benchmark
ERR568535,1,1,1,1,GPS benchmark
ERR2089321,21,21,21,21,GPS benchmark
ERR2089208,19A,19,19A,19A,GPS benchmark
ERR2680839,6A,6,6A,6A,GPS benchmark
ERR1453680,23A,23,23A,23A,GPS benchmark
SRR26833549,31,31,31,31,GPS benchmark
SRR26594813,23B,23,23B,23B,GPS benchmark
SRR26930744,8,8,8,8,GPS benchmark
SRR26834030,10B,10,10B,10B,GPS benchmark
ERR884443,6B,6,6B,6E,GPS benchmark
ERR516691,13,13,13,13,GPS benchmark
ERR714106,1,1,1,1,GPS benchmark
SRR26797325,8,8,8,8,GPS benchmark
ERR2680878,19A,19,19A,19A,GPS benchmark
SRR26834455,8,8,8,8,GPS benchmark
ERR13365661,14,14,14,14,GPS benchmark
SRR26877990,8,8,8,8,GPS benchmark
SRR26789501,8,8,8,8,GPS benchmark
ERR3303206,10A,10,10A,10A,GPS benchmark
SRR26834106,23A,23,23A,23A,GPS benchmark
ERR1453619,6B,6,6B,6E,GPS benchmark
SRR26594223,22F,22,22F,22F,GPS benchmark
SRR26817712,22F,22,22F,22F,GPS benchmark
ERR2090735,15A,15,15A,15A,GPS benchmark
SRR26878634,23A,23,23A,23A,GPS benchmark
ERR2090693,1,1,1,1,GPS benchmark
SRR26797537,8,8,8,8,GPS benchmark
ERR2091107,9V,9,9V,9V,GPS benchmark
ERR662406,3,3,3,3,GPS benchmark
ERR13375139,11A,11,11A,11E,GPS benchmark
ERR586402,35B,35,35B,35B,GPS benchmark
SRR26910844,9L,9,9L,9L,GPS benchmark
ERR742382,33F,33,33F,33F,GPS benchmark
ERR884539,6B,6,6B,6E,GPS benchmark
SRR26817853,12F,12,12F,12F,GPS benchmark
SRR26878239,15A,15,22F,22F,GPS benchmark
ERR13366107,14,14,14,14,GPS benchmark
ERR730206,11A,11,11A,11A,GPS benchmark
ERR2089956,19F,19,19F,19F,GPS benchmark
ERR13365607,12F,12,12F,46,GPS benchmark
ERR730203,19A,19,19A,19A,GPS benchmark
SRR26594837,8,8,8,8,GPS benchmark
ERR984246,48,48,48,48,GPS benchmark
ERR862454,22F,22,22F,22F,GPS benchmark
ERR751124,19A,19,19A,19A,GPS benchmark
SRR26880022,3,3,3,3,GPS benchmark
SRR26910428,10A,10,10A,10A,GPS benchmark
ERR730767,3,3,3,3,GPS benchmark
ERR600092,15A,15,15A,15A,GPS benchmark
ERR13366100,23A,23,23A,23A,GPS benchmark
ERR505797,23B,23,23B,23B,GPS benchmark
ERR9796511,15A,15,15A,15A,GPS benchmark
SRR26931081,16F,16,16F,45,GPS benchmark
ERR13365063,19A,19,19A,19A,GPS benchmark
ERR13365920,9N,9,9N,9N,GPS benchmark
SRR26749774,15A,15,15A,19A,GPS benchmark
SRR26594294,19F,19,19F,19F,GPS benchmark
SRR26749956,3,3,3,3,GPS benchmark
SRR26817746,19F,19,19F,19F,GPS benchmark
SRR26594168,22F,22,22F,22F,GPS benchmark
SRR26833605,8,8,8,8,GPS benchmark
ERR2667771,19A,19,19A,19A,GPS benchmark
ERR316898,5,5,5,5,GPS benchmark
ERR433605,7F,7,7F,7F,GPS benchmark
ERR1202484,23F,23,23F,23F,GPS benchmark
ERR773834,20A,20,20A,20A,GPS benchmark
ERR2090435,1,1,1,1,GPS benchmark
ERR3303420,7F,7,7F,7F,GPS benchmark
SRR26595101,22F,22,22F,22F,GPS benchmark
ERR2667798,14,14,14,14,GPS benchmark
SRR26714745,46,46,46,46,GPS benchmark
ERR2681285,23F,23,23F,23F,GPS benchmark
ERR600492,19F,19,19F,19F,GPS benchmark
ERR1422663,14,14,14,14,GPS benchmark
ERR870062,5,5,5,5,GPS benchmark
SRR26817926,19A,19,19A,19A,GPS benchmark
SRR26672748,35F,35,35F,35F,GPS benchmark
SRR26879622,33F,33,33F,33F,GPS benchmark
ERR1214689,6B,6,6B,6E,GPS benchmark
ERR1788542,14,14,14,14,GPS benchmark
ERR774050,8,8,8,8,GPS benchmark
SRR26714752,3,3,3,3,GPS benchmark
SRR26910380,19F,19,19F,19F,GPS benchmark
SRR26595043,12F,12,12F,12F,GPS benchmark
ERR13365702,9N,9,9N,9N,GPS benchmark
ERR2089536,4,4,4,4,GPS benchmark
SRR26879785,23B,23,23B,23B,GPS benchmark
ERR13365417,9N,9,9N,9N,GPS benchmark
ERR5262746,4,4,4,4,GPS benchmark
SRR26930625,8,8,8,8,GPS benchmark
ERR2681004,35F,35,35F,35F,GPS benchmark
SRR26833816,8,8,8,8,GPS benchmark
ERR909122,6A,6,6A,6A,GPS benchmark
ERR316858,9V,9,9V,9V,GPS benchmark
ERR730949,6A,6,6A,6A,GPS benchmark
ERR980166,6B,6,6B,6B,GPS benchmark
SRR26878576,19F,19,19F,19F,GPS benchmark
ERR1594516,12F,12,12F,12F,GPS benchmark
ERR750829,5,5,5,5,GPS benchmark
ERR570383,14,14,14,14,GPS benchmark
ERR701852,3,3,3,3,GPS benchmark
ERR1422417,5,5,5,5,GPS benchmark
ERR632879,38,38,38,25A,GPS benchmark
ERR980258,6B,6,6B,6A,GPS benchmark
SRR26789363,19A,19,19A,19A,GPS benchmark
ERR568628,3,3,3,3,GPS benchmark
SRR26931899,8,8,8,8,GPS benchmark
ERR925333,6A,6,6A,6A,GPS benchmark
SRR26594842,15B,15,15B,15B,GPS benchmark
ERR925336,21,21,21,21,GPS benchmark
SRR26595044,9N,9,9N,9N,GPS benchmark
SRR26817983,23B,23,23B,23B,GPS benchmark
ERR2667461,9V,9,9V,9V,GPS benchmark
ERR1202239,16F,16,16F,16F,GPS benchmark
ERR13365854,10A,10,10A,10A,GPS benchmark
ERR1799744,6A,6,6A,6A,GPS benchmark
SRR26834018,22F,22,22F,22F,GPS benchmark
SRR26910295,12F,12,12F,12F,GPS benchmark
ERR774161,10F,10,10F,10F,GPS benchmark
ERR913156,19A,19,19A,19A,GPS benchmark
ERR1202590,19A,19,19A,19A,GPS benchmark
ERR730787,6B,6,6B,6B,GPS benchmark
ERR13364518,19A,19,19A,19A,GPS benchmark
ERR13365044,7F,7,7F,7F,GPS benchmark
ERR568614,18C,18,18C,18C,GPS benchmark
SRR26749312,22F,22,22F,22F,GPS benchmark
SRR26834213,12F,12,12F,12F,GPS benchmark
ERR1065369,23F,23,23F,23F,GPS benchmark
SRR26910555,7C,7,7C,7C,GPS benchmark
ERR3796672,24F,24,24F,24F,GPS benchmark
ERR730469,19F,19,19F,19F,GPS benchmark
SRR26789237,8,8,8,8,GPS benchmark
ERR2089251,23F,23,23F,23F,GPS benchmark
SRR26879906,12F,12,12F,12F,GPS benchmark
ERR2091108,6B,6,6B,6E,GPS benchmark
SRR26877962,3,3,3,3,GPS benchmark
SRR26878094,19F,19,19F,19F,GPS benchmark
SRR26714927,22F,22,22F,22F,GPS benchmark
ERR3655122,19A,19,19A,19A,GPS benchmark
ERR730169,16F,16,16F,16F,GPS benchmark
ERR505651,19F,19,19F,19F,GPS benchmark
ERR1756415,19F,19,19F,19F,GPS benchmark
SRR26884581,10A,10,10A,10A,GPS benchmark
ERR505912,6A,6,6A,6A,GPS benchmark
SRR26833961,22F,22,22F,22F,GPS benchmark
ERR8481660,15A,15,15A,15A,GPS benchmark
SRR26594684,23B,23,23B,23B,GPS benchmark
ERR2091170,10A,10,10A,10A,GPS benchmark
SRR26749208,16F,16,16F,16F,GPS benchmark
SRR26714631,15B,15,15B,15B,GPS benchmark
SRR26878403,12F,12,12F,12F,GPS benchmark
ERR13365908,3,3,3,3,GPS benchmark
SRR26797658,23B,23,23B,23B,GPS benchmark
SRR26750001,3,3,3,3,GPS benchmark
ERR2667132,3,3,3,3,GPS benchmark
ERR2667448,6A,6,6A,6A,GPS benchmark
SRR26789898,10A,10,10A,10A,GPS benchmark
ERR3796637,24F,24,24F,24F,GPS benchmark
SRR26878439,8,8,8,8,GPS benchmark
ERR13366078,15B,15,15B,15B,GPS benchmark
ERR326541,9V,9,9V,9V,GPS benchmark
SRR26930204,22F,22,22F,22F,GPS benchmark
ERR600449,19F,19,19F,19F,GPS benchmark
ERR751151,6B,6,6B,6B,GPS benchmark
ERR13366011,10A,10,10A,10A,GPS benchmark
SRR26910385,3,3,3,3,GPS benchmark
ERR1066077,19A,19,19A,19A,GPS benchmark
ERR742402,7F,7,7F,7F,GPS benchmark
SRR26594735,12F,12,12F,12F,GPS benchmark
SRR26817768,10A,10,10A,10A,GPS benchmark
ERR2667484,6A,6,6A,6A,GPS benchmark
SRR26594814,8,8,8,8,GPS benchmark
SRR26818095,8,8,8,8,GPS benchmark
ERR3723883,14,14,14,14,GPS benchmark
ERR751128,6A,6,6A,6A,GPS benchmark
ERR750901,29,29,29,29,GPS benchmark
ERR714714,25F,25,25F,25F,GPS benchmark
SRR26834286,8,8,8,8,GPS benchmark
ERR997589,19A,19,19A,19A,GPS benchmark
ERR774612,13,13,13,13,GPS benchmark
ERR1453412,35B,35,35B,35D,GPS benchmark
SRR26818059,31,31,31,31,GPS benchmark
ERR433597,14,14,14,14,GPS benchmark
SRR26910236,15B,15,15A,15B,GPS benchmark
SRR26834116,8,8,8,8,GPS benchmark
ERR1065141,4,4,4,4,GPS benchmark
ERR884622,19A,19,19A,23F,GPS benchmark
ERR433855,1,1,1,1,GPS benchmark
ERR870297,3,3,3,3,GPS benchmark
SRR26817894,35F,35,35F,35F,GPS benchmark
SRR26818151,38,38,38,38,GPS benchmark
SRR26880438,22F,22,22F,22F,GPS benchmark
ERR1795475,14,14,14,14,GPS benchmark
ERR340833,9V,9,9V,9V,GPS benchmark
ERR884350,23F,23,23F,23F,GPS benchmark
ERR1422442,19F,19,19F,15C,GPS benchmark
ERR925349,37,37,37,37,GPS benchmark
ERR2090022,16F,16,16F,16F,GPS benchmark
ERR14653932,3,3,3,3,GPS benchmark
ERR2090006,6B,6,6B,6E,GPS benchmark
ERR730311,6A,6,6A,6A,GPS benchmark
SRR26594164,33F,33,33F,33F,GPS benchmark
SRR26880420,3,3,3,3,GPS benchmark
ERR730683,19A,19,19A,19A,GPS benchmark
SRR26818349,15A,15,15A,15A,GPS benchmark
ERR1066289,35B,35,35B,35B,GPS benchmark
SRR26673719,16F,16,16F,4,GPS benchmark
ERR8481549,34,34,34,34,GPS benchmark
ERR568481,1,1,1,1,GPS benchmark
ERR506023,19A,19,19A,19A,GPS benchmark
ERR980010,39,39,39,39,GPS benchmark
ERR2667756,19A,19,19A,19A,GPS benchmark
ERR714203,5,5,5,5,GPS benchmark
ERR1065387,11A,11,11A,11A,GPS benchmark
ERR2667805,14,14,14,14,GPS benchmark
ERR3796938,24F,24,24F,24F,GPS benchmark
SRR26879506,8,8,8,8,GPS benchmark
ERR3669261,4,4,4,4,GPS benchmark
SRR26879498,8,8,8,8,GPS benchmark
ERR1066117,19A,19,19A,19A,GPS benchmark
SRR26594547,8,8,8,8,GPS benchmark
ERR2090543,1,1,1,1,GPS benchmark
ERR13375026,23B,23,23B,19A,GPS benchmark
ERR1214446,28A,28,28A,28A,GPS benchmark
ERR3303347,17F,17,17F,17F,GPS benchmark
ERR662449,7C,7,7C,7C,GPS benchmark
ERR884682,19A,19,19A,19A,GPS benchmark
SRR26789763,12F,12,12F,12F,GPS benchmark
ERR2091020,1,1,1,1,GPS benchmark
SRR26880186,3,3,3,3,GPS benchmark
ERR505544,9N,9,9N,9N,GPS benchmark
SRR26715007,3,3,3,3,GPS benchmark
ERR884299,7F,7,7F,7F,GPS benchmark
ERR730635,12F,12,12F,12F,GPS benchmark
ERR845766,14,14,14,14,GPS benchmark
ERR13364876,21,21,21,21,GPS benchmark
ERR13365523,3,3,3,3,GPS benchmark
ERR742709,14,14,14,14,GPS benchmark
ERR633092,23B,23,23B,23B,GPS benchmark
ERR908859,20A,20,20A,20A,GPS benchmark
ERR13364522,14,14,14,14,GPS benchmark
SRR26594773,12F,12,12F,12F,GPS benchmark
ERR3899502,1,1,1,1,GPS benchmark
SRR26884207,19A,19,19A,19A,GPS benchmark
SRR26910708,12F,12,12F,12F,GPS benchmark
ERR1788053,14,14,14,14,GPS benchmark
ERR980079,23F,23,23F,23F,GPS benchmark
ERR1065751,16F,16,16F,16F,GPS benchmark
SRR26910610,8,8,8,8,GPS benchmark
ERR3303158,1,1,1,1,GPS benchmark
SRR26834301,3,3,3,3,GPS benchmark
ERR2090648,22F,22,22F,22F,GPS benchmark
SRR26884480,15A,15,15A,19A,GPS benchmark
ERR2089392,12F,12,19F,6C,GPS benchmark
SRR26790167,15B,15,15A,15B,GPS benchmark
ERR876690,23F,23,23F,23F,GPS benchmark
SRR26880165,18C,18,18C,18C,GPS benchmark
SRR26834024,1,1,1,1,GPS benchmark
ERR662415,7F,7,7F,7F,GPS benchmark
SRR26880110,15C,15,15B,15C,GPS benchmark
